park,area,full_location,address_for_geocoding,organization,latitude,longitude,borough
PROSPECT PARK,Sugar Bowl,PROSPECT PARK - Sugar Bowl,"Sugar Bowl, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,Peninsula,PROSPECT PARK - Peninsula,"Peninsula, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,Lookout Hill,PROSPECT PARK - Lookout Hill,"Lookout Hill, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,West Drive,PROSPECT PARK - West Drive,"West Drive, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,Litchfield Villa,PROSPECT PARK - Litchfield Villa,"Litchfield Villa, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6668931,-73.9737731,Brooklyn
PROSPECT PARK,Bartel-Pritchard,PROSPECT PARK - Bartel-Pritchard,"Bartel-Pritchard, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6605449,-73.9790906,Brooklyn
PROSPECT PARK,Wellhouse,PROSPECT PARK - Wellhouse,"Wellhouse, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,Vail,PROSPECT PARK - Vail,"Vail, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,PPW/8th St.,PROSPECT PARK - PPW/8th St.,"PPW/8th St., PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,Breeze Hill,PROSPECT PARK - Breeze Hill,"Breeze Hill, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,Lefferts Homestead,PROSPECT PARK - Lefferts Homestead,"Lefferts Homestead, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,Quaker Cemetery,PROSPECT PARK - Quaker Cemetery,"Quaker Cemetery, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
PROSPECT PARK,GAP Berms,PROSPECT PARK - GAP Berms,"GAP Berms, PROSPECT PARK, Brooklyn, NY",Prospect Park Alliance,40.6617743,-73.971089,Brooklyn
GREENWOOD CEMETERY,Chestnut Hill,GREENWOOD CEMETERY - Chestnut Hill,"Chestnut Hill, GREENWOOD CEMETERY, Brooklyn, NY",Green-Wood Cemetery,,,Brooklyn
BROOKLYN BOTANIC GARDEN,Native Flora Garden,BROOKLYN BOTANIC GARDEN - Native Flora Garden,"Native Flora Garden, BROOKLYN BOTANIC GARDEN, Brooklyn, NY",Brooklyn Botanic Garden,40.6676619,-73.9636261,Brooklyn
WASHINGTON PARK,Old School House,WASHINGTON PARK - Old School House,"Old School House, WASHINGTON PARK, Brooklyn, NY",NYC Parks,40.6732161,-73.9850305,Brooklyn
WASHINGTON PARK,Vanderbilt Playground,WASHINGTON PARK - Vanderbilt Playground,"Vanderbilt Playground, WASHINGTON PARK, Brooklyn, NY",NYC Parks,40.6732161,-73.9850305,Brooklyn
WASHINGTON PARK,Lefferts Homestead,WASHINGTON PARK - Lefferts Homestead,"Lefferts Homestead, WASHINGTON PARK, Brooklyn, NY",NYC Parks,40.6732161,-73.9850305,Brooklyn
WASHINGTON PARK,PPW/7th St.,WASHINGTON PARK - PPW/7th St.,"PPW/7th St., WASHINGTON PARK, Brooklyn, NY",NYC Parks,40.6732161,-73.9850305,Brooklyn
